,R0-15,R16-31,R32-47,R48-63,R64-79,R80-95,R96-111,R112-127,R128-143,R144-159,R160-175,R176-191,R192-207,R208-223,R224-239,R240-255,G0-15,G16-31,G32-47,G48-63,G64-79,G80-95,G96-111,G112-127,G128-143,G144-159,G160-175,G176-191,G192-207,G208-223,G224-239,G240-255,B0-15,B16-31,B32-47,B48-63,B64-79,B80-95,B96-111,B112-127,B128-143,B144-159,B160-175,B176-191,B192-207,B208-223,B224-239,B240-255,Exposure,Contrast,Highlights,Shadows,Temperature
800_1730,1.1505873280367411e-05,0.0034712504010540038,0.04326604728000055,0.08328504353183845,0.07536289194014127,0.06214770832732349,0.06770386150319775,0.06911088116491848,0.05496986011720796,0.048487456616251486,0.049003321618996384,0.048470583170507786,0.04355592371903296,0.04392857087805117,0.03901572814341008,0.26820936571478776,0.0032985797238105955,0.058022109553970684,0.11692876752388542,0.08862181438703204,0.08950988613259303,0.0653198610751132,0.07093431434574303,0.06893573314653814,0.0627025226379433,0.044720549313512256,0.04474174434323925,0.04880015211975621,0.034379081419523075,0.033053428651143905,0.019857568299194103,0.15017388732700174,0.045401845652178224,0.10069582456813338,0.1525007988048866,0.13401457645504156,0.07831935085294305,0.07608952362161289,0.07093238752485874,0.06456182221322794,0.055760902668239534,0.04160410921529063,0.033129813336198966,0.0245650119275718,0.01138087765700342,0.008111117668419009,0.005386400255969897,0.09754563757842437,-0.6,74,-58,0,4100
800_1737,0.0003036944973739083,0.023444042589127582,0.0963717081916753,0.17379093090552433,0.13556720872358796,0.06407909852969253,0.05800110720633213,0.08512512995030562,0.0730329801268795,0.035199026283818734,0.022387511646255943,0.01871138513317856,0.017399990839343,0.015930487128946597,0.01325465591493273,0.16740104233302555,0.0013666940532141686,0.09943218790621514,0.16985410552680494,0.1636539537593817,0.07579367403783924,0.06295969817396836,0.08146483089449191,0.058459470368687816,0.0345147020837632,0.02186727000750249,0.020039102352505164,0.0186272105865485,0.017511278508416026,0.00713289823148672,0.006695675046832758,0.1606272484623419,0.05663298180046108,0.17505030103548455,0.20225681923931754,0.09536577006002213,0.08706984274278877,0.09380543050793863,0.04044465851118624,0.025959259519431045,0.018286355972120773,0.01654018830875554,0.01456437112199771,0.006792814345412702,0.0061106371743424965,0.006588571331679864,0.005298592275672356,0.14923340605338858,0.0,45,-16,22,4550
800_1743,0.008440851773743223,0.028975477405657892,0.042024514006226164,0.0323567452714164,0.06746881688132919,0.1066662992861514,0.1978093312742408,0.058457488495778274,0.012248029632963744,0.03320817989416358,0.04374315565695894,0.04380225400608083,0.07573319938808573,0.08320810832653074,0.08988622177730399,0.07597132692336912,0.026219050026656192,0.06104463089709038,0.08593004561170398,0.16189630774874872,0.2014084675299852,0.009932568976334016,0.025346282744118848,0.06538548308922898,0.06435821229778567,0.06776185881181435,0.11264406839751702,0.09272456656989987,0.025284789631897932,5.648337792180366e-05,2.532393162186129e-06,4.651896134885389e-06,0.12747332233907688,0.2557930145145766,0.1823629441294612,0.01829692596097164,0.042110174957538375,0.053520477922045895,0.07924053639170088,0.13170822690859316,0.09406340429833,0.015351945395437596,7.773345967406118e-05,1.101040505298317e-06,8.257803789737378e-08,8.257803789737378e-08,0.0,2.7526012632457924e-08,0.0,45,-16,22,3750
800_1802,9.540515978409916e-05,0.013519648838545402,0.0479620951391484,0.026499595147406203,0.0395907190212895,0.09027951344579654,0.08303282267808725,0.08365716769661666,0.09367704918502084,0.10023853492027036,0.10076337340313343,0.07947032354515664,0.06912888317718009,0.02694510366186253,0.020233380949665054,0.12490638403103703,4.0655920658140364e-05,0.03106825262009104,0.06259828162810419,0.0762537988650034,0.10706138014546507,0.11935557090161344,0.10609915332187224,0.1173648070899962,0.09620044134107614,0.06381289446152404,0.06955000364444408,0.020250061713320326,0.01698198081150649,0.012682087326164972,0.008123531900116249,0.09255709830904403,0.01148690785766365,0.09047467287536068,0.14143470862834795,0.1651843450097211,0.12478248944817832,0.12371481047019052,0.08747323645791746,0.07388047852982026,0.040552615532730735,0.024564654089407573,0.014996942410516788,0.008517869557088841,0.00700815034223642,0.004519303332034839,0.004022596434082136,0.07738621902470272,-0.25,59,-48,22,4200
800_1851,2.6204764026099946e-05,0.00028467402264487985,0.005140372755060988,0.0236771053380866,0.01993020944653116,0.04663022149191429,0.11165613227812547,0.12236898113455175,0.11172602082419927,0.10130880134344558,0.09578559680469237,0.11486877579049752,0.0959850778182398,0.07667037754018302,0.04638237727417164,0.02755907137362951,0.0004735299953161737,0.01963226788579744,0.0563763017326634,0.136135263046284,0.13089860429903466,0.07511730485543447,0.0474695446691032,0.049750322549816026,0.09249232960131984,0.12943171555983835,0.09590153636990027,0.08044014754823603,0.05440257652286564,0.019728636456023668,0.00894644957377621,0.002803469334590575,0.14776684762634384,0.17219976221929248,0.08054141574871085,0.021594046806112717,0.030790900516806392,0.032680368601936204,0.05972803418686728,0.1051600758749033,0.13106351264071572,0.08751257112996924,0.0701205903603023,0.04178567079461433,0.014077546062580059,0.004455167722601214,0.0005144061240753737,9.083584168711116e-06,1.1,52,-48,22,4700
800_1855,0.0018594922573730629,0.009683981556250287,0.02775767155477269,0.033683691762389285,0.038767168249338985,0.08599619062005978,0.12824457368702571,0.15133171399636086,0.1495543318346704,0.12818286036670373,0.1038143841693277,0.06370518517409322,0.03226915749921992,0.01373027788720897,0.01088934564942562,0.020529973735779788,0.008254913558410971,0.03811422370368445,0.07797081648099087,0.10459689365644323,0.15319792260081622,0.21642498093548365,0.1900684935277536,0.12311713815790197,0.05961853570861536,0.017433269788615636,0.0043241989544959775,0.002477809079135965,0.0017435526921651498,0.0011974366015371847,0.0007099233918037224,0.0007498911621460513,0.050145898877357084,0.12493627728075585,0.1554497431162397,0.2512806202117125,0.25051302982344376,0.12023455906300573,0.034063137846527716,0.005879556298293013,0.0028236734278627986,0.0016614150704698956,0.001034978074980418,0.0007398166415225716,0.0005662926578875569,0.0003376891229749938,0.00017649679299932018,0.00015681569396711281,0.2,77,-48,22,3600
800_1875,0.04658956557125615,0.1398664415846263,0.06895946056942732,0.04368218553897805,0.03838645596861946,0.07876574019980362,0.10884938734803164,0.05226030953771933,0.05137526565354792,0.04775697129301132,0.04457521196681288,0.034361987765678316,0.026852203369227987,0.029957412854295568,0.029147625088661287,0.15861377569030286,0.1206679010798785,0.14102889262410764,0.055607555251864116,0.0660021208242213,0.1297792039433105,0.06214498325207288,0.0563985152248578,0.04745115729266471,0.040926281154216364,0.03387681426701862,0.02834796689567575,0.02665277740770583,0.023017444445349745,0.0220094143367365,0.024392203620265226,0.12169676838005453,0.16683180439178633,0.1408654431610961,0.14393407057537513,0.10100573994436222,0.06398597802895692,0.05224368382608933,0.04405816334552479,0.03991436987782194,0.03245311384164263,0.03553580704837685,0.029208787888730613,0.025820115525573974,0.022514929558731592,0.01719062798726052,0.011719447612382654,0.0727179173862884,0.0,33,-48,22,4250
800_1880,0.0830688267026105,0.1063487041523981,0.05956051087398614,0.061794934949425916,0.044171047523330495,0.034393697732230916,0.03625861261409257,0.06232904969854613,0.05520738208021345,0.05735507168984834,0.06928330410804819,0.08690231942990766,0.07713138319975144,0.056265069115615636,0.051431638927419185,0.058498447202575375,0.1742822427050011,0.12217638162416247,0.06246923968088323,0.035904160149424415,0.035466221288442006,0.0729253534174866,0.056104509883930516,0.06673761588176058,0.08275695697948475,0.07974192271180111,0.06692861888341721,0.049447398780795834,0.04896453746719725,0.040534833728570176,0.0042976363523056565,0.001262370465337153,0.27152938820243905,0.09506422259163357,0.056932437291889584,0.0839807359751112,0.06678804353690325,0.08547063646086825,0.08187450054050079,0.08062470946293666,0.05734227209397425,0.04225570498632618,0.04147077321009901,0.031027789381521325,0.004022706538132666,0.00038475860457649685,0.00031561326084376257,0.0009157078622439777,0.47,33,-48,22,4250
800_1885,0.012590783542263107,0.032698425666223094,0.04318980022500864,0.06598483448828812,0.05241552872295377,0.05220322058751962,0.05099345233232309,0.0498067784017252,0.07467765938166887,0.08905845952542071,0.09380443957148384,0.1289737928136848,0.10592328962716346,0.0690941178232253,0.058463791952671124,0.020121625338377275,0.04613904732250071,0.07981269209027915,0.06876702621511381,0.05347968437132459,0.06332857426925594,0.07507199703864145,0.0989393621760436,0.07402353121747113,0.12489036389168492,0.14858693012070268,0.1104029830270202,0.038650678163878426,0.00784089480240617,0.004659438262346683,0.0032675579075738155,0.0021392391237567325,0.18270679907926587,0.07277115269471958,0.09567381366739196,0.13411245895596258,0.13295204484141604,0.13963040602630294,0.16058194064554884,0.05390273165947283,0.014421070700233138,0.007430674636144648,0.0036256162798968283,0.0010292801903654992,0.0006020489482971198,0.0003919979458988333,0.00013394157746954026,3.4022151613717986e-05,0.47,33,-48,22,3900
800_3175,0.02960560288684012,0.05464202530675539,0.0800640045856135,0.11127423637886276,0.14155279522254122,0.1457119757313056,0.11721536836741454,0.11355190382014813,0.12908962227484214,0.03745230567791174,0.01045482001400964,0.005916606311296301,0.0039326689508118965,0.002982030578537329,0.002363163236521778,0.014190870656587891,0.14255284278749106,0.15979932105438285,0.2535142735587985,0.17343592792060353,0.09699054800767823,0.065918414219806,0.0826315759919439,0.015183926614329076,0.0018494177367495831,0.0011825725547156573,0.0008513245186966587,0.0006449344759784893,0.0005405283100635761,0.0005484282756890917,0.0005182872918565503,0.0038376766812172843,0.4997238315152586,0.2458272216409952,0.09090484940078072,0.05053137315826202,0.06616983681919088,0.04107514183053269,0.003957442362181107,0.00019237930228824842,0.0001559899135881391,0.00013350116126742097,0.00011508625881630659,0.00010132325250007764,9.419401522827102e-05,8.711982998172933e-05,9.568041991042375e-05,0.0008350291192182436,0.0,47,-13,17,3100
