,R0_7,R8_15,R16_23,R24_31,R32_39,R40_47,R48_55,R56_63,R64_71,R72_79,R80_87,R88_95,R96_103,R104_111,R112_119,R120_127,R128_135,R136_143,R144_151,R152_159,R160_167,R168_175,R176_183,R184_191,R192_199,R200_207,R208_215,R216_223,R224_231,R232_239,R240_247,R248_255,G0_7,G8_15,G16_23,G24_31,G32_39,G40_47,G48_55,G56_63,G64_71,G72_79,G80_87,G88_95,G96_103,G104_111,G112_119,G120_127,G128_135,G136_143,G144_151,G152_159,G160_167,G168_175,G176_183,G184_191,G192_199,G200_207,G208_215,G216_223,G224_231,G232_239,G240_247,G248_255,B0_7,B8_15,B16_23,B24_31,B32_39,B40_47,B48_55,B56_63,B64_71,B72_79,B80_87,B88_95,B96_103,B104_111,B112_119,B120_127,B128_135,B136_143,B144_151,B152_159,B160_167,B168_175,B176_183,B184_191,B192_199,B200_207,B208_215,B216_223,B224_231,B232_239,B240_247,B248_255,Exposure,Contrast,Highlights,Shadows,Temperature
800_0573,0.0022506644228929224,0.01176844391486843,0.021061143201548328,0.030276081502541533,0.01633737664767959,0.008234461731025053,0.009012677160169904,0.007388614888842254,0.006916048303968216,0.006947730744508175,0.008414426801616063,0.015578016537187973,0.029365686160735618,0.04059459270199524,0.06191599435298346,0.0682380037783306,0.06886617491261592,0.09582333496801147,0.11164146091339237,0.0917453286705002,0.06514661235160452,0.05992754272642733,0.054450636940921913,0.038347148822580314,0.020656428237813298,0.01122249298031626,0.007427399040641387,0.0063607385251210095,0.005185653045841381,0.0034980332113453854,0.0027755579577812624,0.01262549384419264,0.027472502063900426,0.05995958300513151,0.023508646140775954,0.018061798761065184,0.028596389159683683,0.04887353646943435,0.041695495577230395,0.06207330551517795,0.11571090662097495,0.16748348274085978,0.14756147604609307,0.1015356707395623,0.08154806955669247,0.03401389380992826,0.011867950450534764,0.007027721337218098,0.006018342453985866,0.005119645667548747,0.003200146702636926,0.00284753848081514,0.001950162942984379,0.0014552177098401532,0.0007671499720666024,0.00047815436543842665,0.00044548098844369907,0.00041454175024481635,0.0001962054180441601,4.296810571926682e-05,3.85364176854411e-06,3.1930174653651194e-06,3.385699553792325e-06,6.358508918097781e-05,0.21773029198052743,0.21220438989253623,0.2597627610044044,0.18907563025210083,0.07472885776516523,0.019188108145960094,0.009089805047566051,0.007585040514987473,0.00501598270397491,0.0027366086499063347,0.0016659843885668834,0.0008703725194383196,0.0002444309921762264,3.3774417500025876e-05,3.908693793809025e-06,2.3672370863913818e-06,1.9543468969045125e-06,1.5414567074176437e-06,1.101040505298317e-06,1.7616648084773071e-06,1.513930694785186e-06,1.101040505298317e-06,1.3212486063579803e-06,1.5965087326825597e-06,1.4038266442553543e-06,1.2937225937255226e-06,1.431352656887812e-06,1.486404682152728e-06,1.156092530563233e-06,1.5689827200501017e-06,1.7341387958448494e-06,3.972003622863679e-05,0.95,27,-33,27,2664
800_0577,0.0017186967027580404,0.0049782995926810755,0.01886352140499815,0.06521039012287391,0.08541654784604547,0.06400491592564805,0.039488900300562034,0.019543936911259878,0.013492150351925577,0.00701139841172705,0.007635027753928017,0.009289368639151372,0.015035974296429612,0.025772275315618765,0.03872629212057979,0.05502515987658657,0.061524271667210945,0.05716393105812855,0.03732626406606772,0.03349439537351588,0.037404135155804936,0.04510214242663602,0.04679400126707741,0.037333310725301626,0.029991435005909284,0.02741934933350715,0.02481772824955039,0.022148861116732536,0.01937616586426505,0.016891337651907805,0.01319486941549503,0.018804946050116282,0.022332074256814174,0.14490392210446718,0.1032903714668436,0.06479196720484792,0.07143545293172954,0.08123931027299419,0.07028670984653917,0.033161826088890525,0.031136654761482696,0.04408665276859938,0.05232389462690031,0.06667064509302581,0.06507311789787586,0.04467287425963284,0.036384186283721844,0.031262999159465676,0.021631372079242324,0.009105715082867612,0.003137882862062306,0.00122336610543696,0.0008114393263922272,0.0004566840755851094,0.00020217856278540347,0.00016182542826622014,0.0001557697054870794,6.033701969034777e-05,7.15676328443906e-07,0.0,2.7526012632457924e-08,0.0,0.0,2.7526012632457924e-08,0.42081509367982933,0.19007650359742964,0.11787362543350717,0.11437132569020375,0.08877466633518007,0.046319590439357,0.015775102787636372,0.0042011576780288905,0.001064073070332926,0.000401356790193869,0.00024261427534248416,7.707283537088219e-05,5.670358602286332e-06,4.1289018948686886e-07,1.3763006316228962e-07,2.7526012632457924e-07,4.404162021193268e-07,2.7526012632457924e-08,2.7526012632457924e-08,1.101040505298317e-07,8.257803789737377e-08,1.3763006316228962e-07,1.3763006316228962e-07,2.202081010596634e-07,0.0,0.0,0.0,0.0,2.7526012632457924e-08,0.0,0.0,1.101040505298317e-07,0.95,27,-33,27,2664
800_0578,0.01183318509657997,0.03568546597905953,0.048764340777321384,0.04786110219879991,0.04760489007321699,0.038422845357319574,0.04623701240145963,0.07204556700172797,0.05470591318207532,0.03412017174470218,0.0396293930690381,0.045524584142506354,0.047820611434217564,0.05398272225218276,0.0632857162675872,0.05995848196462621,0.029956366865815532,0.024412462765562713,0.022645127598483118,0.01996390128599329,0.018696933976546516,0.022947666003326463,0.03602943103291473,0.03033350076489284,0.010126434683304417,0.006913598488843927,0.005169550328451393,0.004033166422933,0.003167335695579036,0.002425867493298517,0.002554276342228933,0.013142377309404934,0.08129917935046978,0.10857294360316386,0.06222392785630276,0.11142180333258536,0.18844525703680493,0.10995942885946076,0.062431584095602025,0.051839078966404835,0.043121755921781205,0.03736917711976172,0.031432889709433205,0.03893758179354654,0.04698976626891945,0.006962402109241275,0.0021760414026463287,0.0021857030330803217,0.0025957305172534147,0.003737592099285667,0.004469013306955339,0.002647837259166658,0.0008852916182851118,0.0002897663349818846,6.138300817038117e-06,2.7526012632457924e-08,0.0,2.7526012632457924e-08,0.0,0.0,0.0,0.0,0.0,5.505202526491585e-08,0.4821925415956587,0.2172336401346,0.17426914032298804,0.08593882640973373,0.02055777500853857,0.005563199835108174,0.006170396147767564,0.005521415347932102,0.00220304442103877,0.00033256928462535666,1.4808994796262364e-05,4.679422147517847e-07,1.101040505298317e-07,4.954682273842426e-07,1.101040505298317e-07,2.7526012632457924e-07,2.477341136921213e-07,5.505202526491585e-08,5.505202526491585e-08,1.3763006316228962e-07,0.0,1.101040505298317e-07,1.3763006316228962e-07,2.202081010596634e-07,2.7526012632457924e-08,2.7526012632457924e-08,0.0,2.7526012632457924e-08,0.0,2.7526012632457924e-08,2.7526012632457924e-08,8.257803789737377e-08,0.95,27,-33,27,2664
800_0661,0.00900042808454846,0.031939918862123086,0.059243851624662336,0.0672695285498702,0.04670363336760505,0.03806043787500063,0.03768129457700116,0.04446998002051899,0.047268604776886256,0.04149403269077343,0.03327581130720153,0.02681000599186243,0.02538294739294528,0.02527752276456297,0.026851652848975338,0.030698082802209745,0.03291177979013728,0.032051839629486656,0.027260799500744195,0.01962549648668985,0.015323566076413532,0.013671619954289203,0.01395301838143082,0.012129227362442055,0.010750614545758033,0.008919804393547991,0.006741973800080552,0.005074915897021003,0.004166309746036199,0.003958323194585347,0.003717222849937648,0.19831575485465275,0.023586820016652136,0.1084429657715134,0.12257517849518151,0.08353316300970744,0.060073760905530946,0.043316585039193736,0.03989089018904645,0.04338523491469909,0.046157242016850765,0.042708673050205904,0.03116963092461638,0.026013568342354892,0.022488834898756024,0.02073091362799673,0.01435181525244987,0.01222782553969152,0.012476605641863673,0.011920662764725922,0.010958821305309945,0.008061075377453202,0.005688415666573225,0.004740832681700861,0.004567473854141641,0.004280955588650387,0.003996061357904447,0.003574885838615208,0.003270062774723369,0.003064773772510498,0.002828738214187171,0.0028997002747536476,0.0032057069571886825,0.17381212593525133,0.12039679738146143,0.1782133151470803,0.10823751161322473,0.07709859971870617,0.06095393268546642,0.04985464613769304,0.03988623829291157,0.028726669777473107,0.021154401332347094,0.01813785313396866,0.016342248751915534,0.01621868448120843,0.016643190648026197,0.015667531130268728,0.013107419273361712,0.010254375590020081,0.007176774695622857,0.00623026522524316,0.005789353554896448,0.0058039698676042835,0.00628044514627213,0.006179452205923642,0.00572252039622484,0.005620729201510011,0.005940856728425497,0.005701738256687335,0.004989667835898281,0.005065281792599643,0.005642227017375961,0.006631511911386498,0.007626054273809836,0.11870573679538637,-0.05,28,-33,18,3800
800_0669,0.23058829805342645,0.13493309197057404,0.06817243681624008,0.058889344107968915,0.06223584661977262,0.05905207789465201,0.05212163348607701,0.04900194531836476,0.04502911591512211,0.043148731414161014,0.034863759449955393,0.025125881960970757,0.020199634058177658,0.01465517943767219,0.010927386598883678,0.009200377040310634,0.007319221810995828,0.005946664717090946,0.005333275051589253,0.005034397606426024,0.004588503727792839,0.003874203699980556,0.00329403793172624,0.0031056774272823304,0.0030880607791975573,0.0029846730757500453,0.0027809805822698566,0.0027554364425469357,0.002684997376220476,0.0022170001094434263,0.002428262256397541,0.024419867262960842,0.3672706956528058,0.16452936353913175,0.09893501306604767,0.08682486123035991,0.06423624453581123,0.040735305678572364,0.03133842043407861,0.024280695743091135,0.01681971496703815,0.012356977590963011,0.009700662319905557,0.007699823987664823,0.006482348448931209,0.005277011881768509,0.004513467817356759,0.0041060828303963815,0.003944064720041733,0.0036895316812293956,0.0031711067593096828,0.0030301735746314984,0.0031511779261637835,0.003064663668459968,0.0028045428490832405,0.0026263119172880755,0.002514281045873972,0.0018139367064663448,0.0022048060858472474,0.00288505643603318,0.003292606579069352,0.0037409227468141945,0.003409757288833093,0.009550370290932336,0.5766653953318965,0.15435987817207017,0.06987555379584816,0.044071128097474675,0.0308221975931695,0.02049677736454504,0.014190044876208915,0.010605139568995493,0.00894028374694654,0.007641028424681893,0.006277059446718337,0.005643025271742302,0.005016891062391782,0.003978279553743879,0.002973167202469678,0.0024902783628584684,0.0022858426670372034,0.002148818176152828,0.002278052805462218,0.0026389738830990064,0.0024792129057802205,0.0030062259436412597,0.0037114148612721995,0.004337769278723779,0.004398932078793101,0.002183803738208682,0.0004885591982134957,0.0004200744787839404,0.0004427834392057182,0.0005435836974657791,0.0010179394731609265,0.0035718855032382704,1.25,28,-33,18,3898
800_0671,0.1256325752963065,0.12439704269328601,0.07441764866634266,0.05823626193225122,0.05716599550907599,0.05557389093841462,0.06411226737491464,0.08324017613124755,0.07594027758111971,0.05970807782770874,0.045499315262909755,0.03128543285976113,0.024697219366245488,0.020065224538493368,0.01620902285077444,0.013685795850794918,0.01144223313916117,0.010502990536116441,0.007843482247593622,0.006188728472180781,0.004829493968390008,0.0037454370128859175,0.003132570341624242,0.002324764448899499,0.0020026275230618437,0.001715971627507427,0.0014060562512785834,0.0011938582198949652,0.0010288122481507474,0.0009166437466734814,0.0008287531883380432,0.01103135234859647,0.2566279610557569,0.1617250684241622,0.10122371843839865,0.10074600448916235,0.07862502722322649,0.06445045196611703,0.046598566577386966,0.030162013706192627,0.021831183404941338,0.02088244432753841,0.020083969753096072,0.015367304910486507,0.013198062432960397,0.011869161595090593,0.00974291474929638,0.007920995499166623,0.006444445129536314,0.004973097176293541,0.004041314122672207,0.0037597505394547956,0.002777567356703432,0.0020401730042925166,0.0016939783434140932,0.001476550369630308,0.0011145833035134864,0.0009585933899253472,0.0009483812392387053,0.0009380314584889012,0.0008401214315552483,0.0009196716080630518,0.0011219052228737202,0.004896987751364794,0.4626176103941747,0.17650725288412056,0.08729839122567609,0.06010665449062673,0.04223616151735713,0.033623795158901064,0.027740798109028995,0.0219099353270828,0.01748482601027623,0.013945366149918996,0.009234289087873822,0.007489277517039153,0.0067400745052089124,0.005867857742924218,0.0049621418232658225,0.003882103665606071,0.003131937243333695,0.0027037976428484446,0.0019944247712973713,0.0018510142454822656,0.0015497145112073811,0.001425874980373953,0.0013481965727251567,0.0015367497592574935,0.0010500898559156373,0.0005826155833786044,9.524000370830442e-05,7.140247676859585e-05,6.325477702938832e-05,3.182007060312136e-05,3.182007060312136e-05,0.0008855118263861715,1.35,28,-33,18,3898
800_0672,0.1372769044202152,0.11232245446591939,0.05729908378015392,0.05911365358491081,0.06721197165745572,0.06600977305573313,0.0686677123615359,0.06412831504027937,0.055391613682762485,0.04747722442662765,0.04413143759115239,0.03917978317869954,0.03487110889532826,0.026760018752921885,0.019725223230457247,0.015246217980916325,0.012277950408695225,0.010417274532778967,0.008170050861465102,0.006144218909754096,0.005161430154724818,0.004378149939255596,0.0039678747209688095,0.003538166137763509,0.0033453464192731413,0.00288987348824386,0.0025647637530418995,0.0023812753528339352,0.0021936305247184694,0.002018922922540259,0.001785695017505443,0.013952880751367658,0.22444446450784922,0.18012879531414777,0.10178373516540601,0.09030362623286257,0.08044482697038355,0.06233213261196095,0.05197668150355449,0.044869822880018076,0.03671799423891566,0.02454202770702369,0.017286335933183575,0.013074938578455412,0.010118507191666268,0.008993408951327183,0.006741781117992125,0.0063288358764799916,0.005504073959973654,0.004345449036248236,0.0036847421550313475,0.003353741853126041,0.003037192707852775,0.0025760218922085748,0.0022815210830539074,0.0017242844833224294,0.0011729109242816648,0.000989064685909478,0.0008431217669321862,0.00071639200477235,0.0006100865439857974,0.0005843497221744493,0.0005109653724963165,0.007978167027404238,0.37683862753979763,0.22487788910275988,0.11373186889073912,0.06805619446489321,0.058309343495790394,0.041172391233163165,0.025874617030586244,0.018322249892593498,0.014835777606553746,0.011649476488270945,0.007776786718985175,0.005491577150238519,0.004044424562099675,0.0036748052644710303,0.003477746540035264,0.003140470307249757,0.002447915829417116,0.0017465805535547203,0.0013242214157222858,0.0010531727693304726,0.0009328840941266315,0.0009537763377146671,0.0008690237448193292,0.0008685558026045773,0.0008218716851799287,0.0006921415876431546,0.0005638153167506357,0.00045891368260833854,0.0003899885469766639,0.0003537367883397168,0.0003525806958091536,0.004896574861175308,0.5,28,-33,18,3812
800_0675,0.4192789219668371,0.14637714182656894,0.05220143139669851,0.028698070250347985,0.020721196945537472,0.019543441443032494,0.021538912202809898,0.02495805586195066,0.024690475493150538,0.021498201230126496,0.022377299495569304,0.023494855608447093,0.02233515717022901,0.01947393826113554,0.014338850500499982,0.00874407832890238,0.00612555627318929,0.003829308773377017,0.002471973564457884,0.001879586246594757,0.001276739043931296,0.0007912627591326355,0.0006215098392282675,0.0005417669806320369,0.0004664007580443671,0.0004167988832806779,0.0009994419926719147,0.0037540526548398767,0.00956350019895802,0.01535544119904192,0.013281218517123052,0.04835541433365359,0.5640322217301794,0.05370261754763487,0.032892043639079806,0.02562861705568997,0.02333757197226523,0.023930812596519965,0.021102322116446484,0.02080749099514023,0.025073417380893293,0.02775103778572827,0.024788853462298942,0.020999677615340048,0.015365047777450647,0.010711665237883104,0.007226266466336017,0.003947918361810278,0.0024971323400039503,0.0017658487623974407,0.0009938817381201584,0.0006806632403754196,0.0006641751588085773,0.0005754588200941654,0.0004975051523190445,0.0016543959372486187,0.007813616523887405,0.019256482761339122,0.021282452343113288,0.016605975478947113,0.017644586987595016,0.006742028852105817,2.8076532885107084e-05,1.3763006316228962e-07,0.6043870078101207,0.05433062352584439,0.03453314451222694,0.027754038121105207,0.027104589379054994,0.030052460175915445,0.030084940870821746,0.02221288662211563,0.021703049816137247,0.019881075513982223,0.01415046247004344,0.008513492921080279,0.005063630231841695,0.0033743588365877522,0.0023520977794435297,0.0013330847917899372,0.000873758218992112,0.0007272372537495384,0.0007544880062556718,0.003601751226944487,0.014369074062370422,0.025787689882692942,0.02326344442024602,0.018093783987744097,0.005617068241829894,8.037595688677715e-05,0.0,5.505202526491585e-08,1.3763006316228962e-07,8.257803789737377e-08,2.7526012632457924e-08,8.257803789737377e-08,0.35,28,-33,18,4234
800_0685,0.0038419707391879475,0.01840268090150554,0.03175100783742652,0.03671716845853669,0.036583639771256636,0.035969066487211744,0.04053618250318916,0.04749035433465333,0.051551156874269324,0.05580337530573142,0.05225466670512968,0.04399931273051659,0.04115675645798793,0.04679548767175957,0.06822283694537011,0.06788118407657605,0.04320769213321973,0.031031285185125646,0.023472504486189538,0.017931820929414716,0.01564506990396064,0.014152967337192995,0.011124582953382606,0.009061040364365133,0.008771053821282187,0.009450781177228104,0.010375324889527101,0.010927964645148959,0.00881765536066894,0.005961198451760883,0.004769129422687027,0.09634308113853754,0.013507564918999753,0.06773196556209549,0.09459740894339969,0.08913883548230749,0.07978249605442135,0.07534904635578715,0.07551078920601546,0.08784439721225352,0.06772156072932042,0.05723750808989511,0.03974021279589638,0.02427582363885519,0.020831356048092567,0.01680110738249861,0.014184099257480305,0.012114005477456306,0.011264112311416535,0.010620278875943344,0.009673301463348894,0.009443762044006827,0.0075222261541602045,0.004751980716817006,0.003979353068236545,0.004318913960070546,0.004677247592519883,0.004552362073206422,0.003889177850852613,0.0032848167174943667,0.0026962004633618863,0.002513097427330776,0.0028958191069724712,0.07754917301948687,0.12118453681097711,0.19007776979401073,0.14709760768121088,0.09639141681672014,0.08927687843565926,0.06552908629713251,0.0398087525673512,0.02624883317232451,0.02085645977161337,0.018300697024702283,0.016116673078392544,0.014125193590446844,0.011670643991985306,0.01029244406549077,0.011635438221828392,0.011668964905214727,0.008690870546483839,0.005418660742775137,0.004588641357856001,0.004007484653146917,0.0033038371922233948,0.003385286663602838,0.0036824850219954863,0.004345641718336663,0.0036667951947949853,0.002735727817502096,0.0021674808127176344,0.0013295064101477177,0.001047667566803981,0.0009662456214371705,0.0009061288098478824,0.059476143645267654,0.1,47,-33,18,3632
800_0686,0.04927951762975047,0.0803062059707665,0.09323101767632448,0.0907902586101918,0.07488033341268165,0.06338467228300088,0.05398269472617013,0.041644324719746655,0.031432779605382676,0.026056508922061527,0.023804605828600143,0.018945548922642875,0.012740497524971047,0.01158613913320366,0.011541436888688549,0.012176929942334104,0.012957705290653774,0.014092630317502646,0.014769274760033728,0.015496512013783265,0.015001071312411655,0.014140635683533654,0.014063287588036447,0.01405337822348876,0.01372713992176887,0.013292641812365521,0.013072048347129004,0.013153277610407388,0.013076177249023872,0.013256224897652779,0.013690778059081393,0.0963737451166101,0.18212382565772306,0.14354421965846165,0.1103301491975947,0.07425348352700269,0.05365252020464379,0.04015381866171169,0.02478750468767995,0.017238853561392587,0.014480058945304491,0.01359151925752875,0.012484698289577616,0.011641493944607534,0.011606701064640106,0.012847904026262898,0.013841400400206203,0.01519441402514204,0.0156725133385552,0.015021192827645982,0.014719259995080551,0.015183513724139586,0.014320518176086766,0.014176006609766362,0.014931788338615758,0.015593678838375842,0.015456957133630423,0.016271231639323792,0.01628246225247784,0.016023882889808525,0.01434542921751914,0.011580000832386621,0.009089474735414462,0.029559524341693386,0.3553683652124931,0.11925799118683138,0.06730333049338286,0.04667539167864415,0.03825534957045107,0.026847689103156266,0.017207005964776832,0.015985153790034658,0.0162312913949941,0.01636713226733528,0.018115722219812166,0.020154986865687813,0.02272387952062458,0.021037801142836002,0.01649989022626162,0.015899547890747715,0.018287897428828193,0.021185780986748098,0.023703282576100066,0.022921130927148776,0.018617604008139773,0.013860998921200513,0.010265771359249918,0.007227229876778153,0.0058071353590570165,0.004861176408929967,0.003924741459173748,0.0032920285328040706,0.002421133019125734,0.001906038744734549,0.0015320152850847107,0.0062555065788271235,0.35,51,-33,18,4036
