,R0_7,R8_15,R16_23,R24_31,R32_39,R40_47,R48_55,R56_63,R64_71,R72_79,R80_87,R88_95,R96_103,R104_111,R112_119,R120_127,R128_135,R136_143,R144_151,R152_159,R160_167,R168_175,R176_183,R184_191,R192_199,R200_207,R208_215,R216_223,R224_231,R232_239,R240_247,R248_255,G0_7,G8_15,G16_23,G24_31,G32_39,G40_47,G48_55,G56_63,G64_71,G72_79,G80_87,G88_95,G96_103,G104_111,G112_119,G120_127,G128_135,G136_143,G144_151,G152_159,G160_167,G168_175,G176_183,G184_191,G192_199,G200_207,G208_215,G216_223,G224_231,G232_239,G240_247,G248_255,B0_7,B8_15,B16_23,B24_31,B32_39,B40_47,B48_55,B56_63,B64_71,B72_79,B80_87,B88_95,B96_103,B104_111,B112_119,B120_127,B128_135,B136_143,B144_151,B152_159,B160_167,B168_175,B176_183,B184_191,B192_199,B200_207,B208_215,B216_223,B224_231,B232_239,B240_247,B248_255
800_1730,4.7344741727827635e-06,6.77139910758465e-06,0.00029218862409354087,0.0031790617769604634,0.011135868618561914,0.032130178661438635,0.044220594346068925,0.03906444918576953,0.03737022310824175,0.03799266883189952,0.032460931229230244,0.02968677709809324,0.03376968302585309,0.03393417847734466,0.03627317387477514,0.032837707290143334,0.027528930389796966,0.027440929727411,0.024198337913294822,0.024289118702956667,0.024156801160232444,0.02484652045876394,0.026149244058620277,0.022321339111887516,0.02125996359079257,0.02229596012824039,0.02283797484298612,0.021090596035065058,0.01982302315334037,0.019192704990069715,0.01643426821214584,0.25177509750264193,2.3920104977605938e-05,0.0032746596188329897,0.020475857594944375,0.03754625195902632,0.06360097169026674,0.053327795833618685,0.04455668696031123,0.0440651274267208,0.045795660314910794,0.04371422581768222,0.03306545751866429,0.032254403556448916,0.03124686891606306,0.03968744542967995,0.035719653286749045,0.0332160798597891,0.03215065801483718,0.030551864623106127,0.023263059056069166,0.02145749025744309,0.02145806830370837,0.023283676039530878,0.023577378594319204,0.025222773525437007,0.019239664367620687,0.01513941705190239,0.017051126155239224,0.01600230249590468,0.011491449649748004,0.0083661186494461,0.007566460456460564,0.1426074268705412,0.011825064922853394,0.03357678072932482,0.04025175621465798,0.0604440683534754,0.07280393617576482,0.07969686262912178,0.0758305313687541,0.058184045086287446,0.04159805349251149,0.03672129736043155,0.037084145258952615,0.039005378362660284,0.03715001500718209,0.033782372517676656,0.03110004516468153,0.033461777048546415,0.029612677072086663,0.026148225596152878,0.020973638007389744,0.020630471207900892,0.01893583224018362,0.014193981096015357,0.013332086588467833,0.01123292533910396,0.006388209485728203,0.004992668171275218,0.0041395819877700826,0.003971535680648927,0.0032305904726084244,0.0021558097833614723,0.0018038346598302328,0.09574180291859413
800_1737,4.624370122252932e-06,0.00029907012725165536,0.003613284626237487,0.01983075796289009,0.03765946644898362,0.05871224174269168,0.08384434458251737,0.08994658632300696,0.08235623328758143,0.05321097543600654,0.03426782127646268,0.029811277253229847,0.027095092904696798,0.03090601430163533,0.04033964677299341,0.04478548317731222,0.04324463204217249,0.02978834808470701,0.02047533460070436,0.014723691683114376,0.011700784975817847,0.010686726670438098,0.009751750599351398,0.008959634533827157,0.008760401254393427,0.00863958958494957,0.007985158634612882,0.007945328494333716,0.008000518149661793,0.005254137765270937,0.0037191496708219203,0.16368189266220365,5.505202526491585e-07,0.0013661435329615193,0.028938427392654606,0.07049376051356053,0.08329498042239877,0.08655912510440616,0.10083006893174187,0.06282388482763981,0.0435252597409604,0.032268414296878836,0.02903410781256503,0.033925590361403336,0.039865346049323534,0.04159948484516838,0.030951294592415725,0.02750817577627209,0.019357998695927626,0.015156703387835573,0.011355471147343662,0.010511798860158827,0.010374554161173392,0.009664548191331772,0.009736996656580402,0.008890213929968098,0.010170393725478451,0.007340884782937571,0.003944477610231221,0.003188420621255499,0.0032974236312800324,0.0033982514155527256,0.003150324619772177,0.1574769238425697,0.007402405421171115,0.04923057637928996,0.08428988062298634,0.09076042041249822,0.12058565335413272,0.08167116588518482,0.05071744900365743,0.04464832105636469,0.04225443878974509,0.0448154039530437,0.054113140500035344,0.039692290007903266,0.024835234793584633,0.015609423717601607,0.0137356454596723,0.012223614059758752,0.009700855001993984,0.008585500970126789,0.008376110592031681,0.008164077716723858,0.00954324105366053,0.00502113006833718,0.0035718029252003727,0.003221011420212329,0.003055222246127035,0.003055414928215462,0.003242536762090911,0.003346034569588953,0.00278852270973115,0.0025100695659412055,0.0022288087688627505,0.14700459728452583
800_1743,0.0015340522100195126,0.00690679956372371,0.011696380813796654,0.01727909659186124,0.025512649964469423,0.01651186404175674,0.014188365789438336,0.01816837948197806,0.02920342031626728,0.038265396565061914,0.04686094452979955,0.05980535475635185,0.09269860953998747,0.1051107217342533,0.05029811772721457,0.008159370768563708,0.004708296934769296,0.007539732698194448,0.014429053243896548,0.018779126650267035,0.021517717173082908,0.022225438483876033,0.02133901829907299,0.022463235707007836,0.03230513399773054,0.043428065390355194,0.03950381939940883,0.04370428892712191,0.04611119099771666,0.043775030779587325,0.0397374326686205,0.03623389425474862,0.004946699730179014,0.02127235029647718,0.03591731758346273,0.025127313313627643,0.031383508042770576,0.05454653756893339,0.0643870045069992,0.09750930324174951,0.14931892937463762,0.052089538155347566,0.0049484338689748586,0.004984135107359157,0.007572846491391294,0.017773436252727554,0.02808735060807164,0.03729813248115734,0.03749040167939506,0.02686781061839059,0.028650257566405404,0.03911160124540894,0.05287887409359593,0.05976519430392109,0.05113204580592752,0.04159252076397237,0.02093193609825157,0.004352853533646366,5.485934317648865e-05,1.6240347453150177e-06,1.1836185431956909e-06,1.3487746189904383e-06,1.0184624674009432e-06,3.633433667484446e-06,0.032538912423018,0.09493440991605888,0.09261498551361007,0.1631780290009665,0.13755830284735682,0.044804641282104415,0.009131039014489473,0.009165886946482165,0.017112922053599093,0.024997252903939282,0.0227034552192513,0.030817022702794596,0.03143217403310476,0.04780836235859612,0.0587473649348107,0.07296086197378246,0.054834322031005744,0.039229082267324265,0.012056723845168161,0.0032952215502694356,7.575158676452422e-05,1.9818729095369705e-06,8.257803789737377e-07,2.7526012632457924e-07,0.0,8.257803789737377e-08,2.7526012632457924e-08,5.505202526491585e-08,0.0,0.0,0.0,2.7526012632457924e-08
800_1746,0.00780494582990818,0.019174482769707027,0.020397903927169253,0.022894485746920556,0.03280996106940982,0.03824417400932229,0.03241061367813811,0.03373403683949406,0.04508741600987765,0.048831559300169844,0.03830968591938754,0.026141371619007394,0.01841600349161965,0.017505910935952693,0.018829581831422332,0.017469191235100996,0.01447904048283709,0.013748692789660084,0.015129590265392602,0.01758438759796783,0.02155804278158946,0.02637080093429893,0.030770889105622597,0.035084875909431934,0.0407613728125353,0.056993049571706256,0.09327731642957228,0.10357245804430103,0.045348665395772314,0.01325052701303786,0.013187079553920046,0.020821887099747003,0.009451001385329163,0.032075401896300045,0.027830973326412926,0.03956366095087179,0.04717132784824315,0.039174608288324635,0.052197522702904696,0.05502287521753808,0.05234247468542722,0.04111513712688765,0.02705782268359245,0.023778373538561413,0.02191142173176495,0.017851665180628997,0.020113147326486475,0.028019636616995792,0.03420883303139133,0.04047237720590713,0.048256100480075684,0.07982210598659946,0.13412319410088921,0.0660674951042234,0.011397723576734485,0.010959481929613123,0.014245619895713848,0.014947615795879422,0.006247799295290035,0.0018071928333713927,0.000809319823419528,0.0012111445558281486,0.0007276501439390252,1.9295734855353005e-05,0.027574513466716317,0.06079150168492228,0.060339414453446795,0.06436297429797107,0.04630646053133132,0.054177909207759514,0.06747825830366212,0.06430401357891234,0.050268004269394664,0.04413903477063895,0.06035466386444518,0.08334645406602147,0.1492062929309456,0.07869670496012142,0.015036304608581201,0.010147492082968246,0.012045658388089913,0.014608770580373865,0.015703232368653026,0.013367127202548953,0.004666925337782711,0.0015098293189029497,0.0011792969592123949,0.0003831896218564468,5.7529366401837066e-06,8.257803789737377e-08,2.7526012632457924e-08,2.7526012632457924e-08,2.7526012632457924e-08,0.0,0.0,5.505202526491585e-08
800_1747,0.00550211961307675,0.00928565262744599,0.02151190918441746,0.05108379270578282,0.02479598269957075,0.009030541542368369,0.008893434473446095,0.007926775961819439,0.007275427924897587,0.016457445114782372,0.0328481947009563,0.032939360854795,0.03377573874863223,0.025344355923234575,0.04337059107597862,0.04769693705945993,0.04940110002754804,0.05088541273274069,0.045374677477709985,0.04207139080573924,0.03396795289484469,0.04041845374716014,0.04264467507083544,0.04161748685743001,0.037809510743843144,0.0405937944476289,0.04432351410730168,0.02819016026525387,0.02150978968144476,0.027908211317859602,0.034585443936228616,0.040960165675766914,0.01256435857013595,0.05811891854039905,0.03300189995549594,0.013476020108522956,0.016342166173877636,0.00855403873768789,0.012587150108595626,0.029222220582895246,0.03624388619733421,0.045054026956554485,0.05329187438713333,0.05621788952996361,0.07689050306320479,0.07341038928608314,0.04751666920272996,0.03398055980863035,0.02909939951452922,0.03014558067665105,0.03942680161606321,0.045362373350063274,0.04734099819010962,0.049315796914400044,0.029979020774212047,0.02605271033231825,0.03778407670817076,0.029403754636206307,0.017315788766700306,0.007673591697626091,0.004115056310514563,0.0005025699386434168,4.982208286474885e-06,4.927156261209969e-06,0.08796256638448467,0.02544039418130922,0.01329071499148125,0.026813033853252,0.04010047324922999,0.05553670329534817,0.07326986899159443,0.09756961273542723,0.11588811909030272,0.05205202020012953,0.02931209301414022,0.023200657585431383,0.02879309004595523,0.04700559372618312,0.05635821714236388,0.05732160005848727,0.04383935907110938,0.0342453600501546,0.046890534993379446,0.023760509156362946,0.01337147631254488,0.006688738491649379,0.0012510022221199478,3.36918394621285e-05,9.909364547684853e-07,6.055722779140743e-07,2.477341136921213e-07,4.404162021193268e-07,3.57838164221953e-07,4.679422147517847e-07,2.7526012632457924e-07,1.1836185431956909e-06
800_1749,0.02072477532717969,0.008025924659321552,0.01845071379354918,0.028322367703927567,0.029740039932537047,0.04054039398312193,0.03715978674166661,0.03147021498256282,0.04368196533087699,0.04756426167857148,0.07053295755554914,0.07066447684390703,0.06932305167028946,0.05505130958858741,0.0417580897299566,0.05175633577243166,0.12568787505568513,0.09296002408195793,0.033566568578638184,0.01552736867394425,0.007893441960521531,0.006162881546318903,0.0056339141615609585,0.005297133397002836,0.0057901242832501575,0.005029222716051123,0.004130856241765593,0.003643535714120558,0.003034302476526367,0.002886432736664803,0.002646240750433975,0.015343412331521535,0.02563153481302901,0.026383050009920375,0.03603353240879696,0.03881688022815321,0.05445649998161262,0.05426392799723595,0.05350905462680342,0.09367088335819115,0.08458410617201467,0.07181137568625102,0.04851624882546504,0.04161079803636032,0.04181636229869952,0.15451584055964568,0.08607973206839928,0.02201398365483349,0.009686981891627226,0.006633713992397095,0.005793262248690257,0.005522433810399504,0.005952169919617437,0.005636474080735777,0.00509762485744278,0.0053424687398084935,0.00346246960302425,0.0022342313933513447,0.0016379904337196739,0.001378447660608228,0.0010618709893223295,0.0007842711519239912,0.0006003698615265398,0.005461408640393344,0.06356920667168887,0.06570448204962653,0.08402441975715891,0.09768087287848763,0.10178337732724178,0.0930385282699857,0.05455317133797782,0.05120856812104575,0.050925931023335674,0.12131781776414347,0.11323169371519473,0.0439028065302272,0.00947761903954475,0.006943932154764896,0.0056425573295275505,0.005042380150089437,0.005351029329737188,0.005043921606796855,0.004273028097012238,0.0030890792416649582,0.0025614881575386373,0.002220550965073013,0.0016525792204148764,0.0012604436444528808,0.0010189854616409599,0.0006673681762739424,0.0004992117651022569,0.00039755820045058983,0.00038897008450926296,0.0003972554143116328,0.000415422582649055,0.0027157439323309313
800_1750,2.5241353583963918e-05,0.00013768511518755453,0.0006084625092404824,0.0021152364407412295,0.004343054273149211,0.00638548441047759,0.01144603172890445,0.02218318605448521,0.04375201903302659,0.06174260799941161,0.040449200303270594,0.029662333998875617,0.027384804187653416,0.03177817601189476,0.05460357146710785,0.07220753006005735,0.0650913951702638,0.05292908154063753,0.0507123291653078,0.04900645958443649,0.048306307927117285,0.053223719979855366,0.06487817867641278,0.06793629115386622,0.04322164782162439,0.02217996551100721,0.01574529211595542,0.01174438617982766,0.011016020359560192,0.010537673312033338,0.008693513043696553,0.015953113511330476,1.9130578779558258e-05,0.000833487662510826,0.0038775618735217153,0.010114433341796665,0.022799961419540694,0.05501640660456945,0.07416980444860001,0.04605655186264123,0.03725486158929912,0.033591507146083194,0.05441884439633142,0.08700281690202875,0.07061850840281082,0.05175165635028415,0.05553254686744067,0.0542737272577331,0.05503267447803523,0.06598387107784598,0.08696081220675163,0.059299674378280966,0.02435633722580513,0.01722065886704253,0.010136123839751042,0.004289048236364329,0.0024298587651302235,0.002514528779987664,0.0027725025703790596,0.0027409577599022627,0.002527438479912287,0.0026241924143153763,0.0019957735459163618,0.0017837406706085386,0.006958493415447466,0.03393748159886056,0.06374617140690295,0.06866223468502204,0.053427577629411346,0.06321555246138706,0.08731080545737332,0.07699278972614701,0.059481015749503596,0.06267144576968127,0.06893198960882013,0.07455783864867978,0.08641874243998063,0.08690119086338972,0.046326994936755135,0.02178953654782843,0.01176811360271684,0.0056712394346905715,0.003227865397357811,0.0028624575796619323,0.003088886559576531,0.0031830530487921694,0.003016685828441594,0.0028941675462145237,0.001851757447823342,0.0007984745744423395,0.0002682685191159349,3.729774711698049e-05,1.6515607579474754e-06,1.101040505298317e-07,0.0,1.101040505298317e-07
800_1753,0.010850203659462265,0.027118957957649136,0.030805158991350005,0.03619271533985047,0.037286626607876974,0.03966545214558662,0.041839759409437106,0.04131216832531079,0.03802399343427526,0.03264519035779192,0.030084390350569094,0.02594813901032754,0.02758596428797142,0.03719757995701097,0.04607257200199332,0.04864972246071983,0.04942813057195311,0.048969987617698475,0.040038814980933285,0.02962258643663435,0.023108830807289506,0.019681429344359007,0.016598543455536352,0.014815353305180462,0.013834518897048089,0.012607491831931012,0.012118987685742781,0.011901779920060055,0.011701803438285249,0.011078889772412726,0.009736776448479341,0.12347748118927349,0.02220669326927333,0.05882686005929323,0.06284835545287007,0.05625744441011645,0.053290855924665925,0.04644142057126826,0.036489803594192585,0.035205274688686304,0.03161183631755682,0.03667450313895638,0.04446656679495257,0.04744617508437824,0.04607802215249455,0.04706119627170068,0.04431588940180249,0.030397608848313832,0.024377669885595286,0.021272735660654032,0.018248838016902733,0.016359810347975044,0.016626785144497253,0.015431027629730648,0.013844786099759995,0.012185986000490184,0.011005505422734593,0.010679212068989436,0.01152252651801005,0.010230042594852988,0.008261492275430127,0.007311569579484004,0.00656478885676542,0.09645871791760649,0.08357516770498456,0.12006585213158139,0.06958193381909772,0.05533254285965323,0.04829901353376968,0.05328835105751637,0.05825916357476142,0.05181136027168395,0.049359095332270904,0.04494469363437836,0.049597332971604825,0.03642941152247697,0.029333728460069333,0.024119503413115462,0.018451539573928154,0.016154548871774806,0.014387021022606784,0.012841022523104784,0.01163697967853581,0.010208131888797552,0.008968222649768483,0.008657371389110137,0.009362312572627384,0.009540928868599403,0.008016510763001252,0.006727329961360084,0.005851920181610025,0.004910062607365213,0.004583741727607424,0.004890491612383535,0.0051957000404522285,0.06561901378040276
800_1754,0.0007481019713249415,0.010892676296954147,0.032265358909476634,0.036485234276095596,0.026512394743280293,0.016978319851826372,0.01084959808718435,0.009364900017814835,0.011325357689523754,0.016735320212307035,0.03098361013124623,0.05897902385712546,0.08343605123714012,0.07497788560145108,0.06991431042163465,0.0703558551902719,0.06870008295239168,0.0698203090884948,0.055400201798703815,0.036489610912104155,0.037891042793260485,0.040528667901740506,0.0392028224512729,0.02770113312482562,0.019231489141868847,0.01176522337139043,0.005833367649095748,0.004143490681563892,0.0034663507708054264,0.0029040218587369437,0.002920344784227991,0.013197842224859337,0.0018135513422894904,0.051015418090403795,0.04947665893222413,0.024782494953380845,0.020784947190794243,0.020390059013569002,0.025428833256003588,0.04209120953483461,0.09454056772731366,0.1017759177778184,0.07988475519135094,0.07013325232611323,0.06619975759492236,0.06586242631011158,0.05241764822592646,0.042976748887233414,0.0450083337755846,0.04420886826468749,0.0256685022479944,0.023144146681496947,0.015807060488302657,0.008757180710915429,0.0039428260494732735,0.0038368784268509428,0.0033725421197540097,0.0032072208878834675,0.0034028757856749787,0.0034533584928429064,0.003288918093376603,0.002199383461358653,0.0007771143886395522,0.0003505437708743517,0.05610830847367379,0.06640851487472692,0.03257373282899806,0.03960508759988364,0.08022753662666293,0.14217986531632124,0.11377731433759532,0.08087351709112145,0.06356722479877934,0.06817772181066552,0.07995709355254903,0.05059735301054202,0.029144817435372776,0.02616504398987131,0.023419461859846794,0.011394007565029105,0.005183148178691827,0.004884188155490702,0.0048827568028338144,0.005059363699883664,0.003765833788246569,0.003701588074762412,0.0035715827170993133,0.0028457217639813975,0.0013690337642879274,0.0003510392391017359,0.00012609666386928975,2.9673041617789644e-05,5.2299424001670054e-06,3.660959680116904e-06,2.7250752506133346e-06,4.175696116343867e-05
800_1755,0.04177325656291709,0.07734952684986365,0.05024012041859798,0.043684993192266555,0.026414815028498233,0.02006971127855246,0.02036024834188805,0.024595290541467498,0.03338068541533119,0.03583055559164522,0.037947085754980174,0.05242799800667627,0.06075533250432324,0.06511250762195289,0.05959381734927141,0.05779821296721828,0.04922686036758458,0.03753788405118605,0.024013941154669986,0.02259191981606458,0.026685615940776352,0.028104967256156414,0.0249903163487559,0.01957071972155126,0.016530636782372078,0.00845984472245962,0.004092705188257007,0.003278045318386782,0.003146168191864676,0.002996316579093575,0.00280823133477599,0.01863166980059496,0.08459035457688224,0.10672666383185438,0.0491882964238865,0.029668169513553697,0.03257998123386563,0.04789897799218217,0.04394896765341183,0.0515571575450232,0.062343032912963406,0.062014867790359245,0.06734960172061802,0.06193498730169985,0.05039104554586175,0.04336114965364569,0.027496917637105416,0.0251737496969386,0.030659326176423245,0.026083787200580293,0.021337091478188717,0.01895110917719463,0.016461326282563547,0.00559686414855767,0.003378790524621578,0.0030556076103038896,0.0031054021671560058,0.0030207046262859328,0.002875725117750777,0.0028068825601569995,0.002623751998113257,0.002446539528785493,0.0021398171700220143,0.009233353203444318,0.16629551508766816,0.10112514778716182,0.07791648013205439,0.0748652766837717,0.07194099567973726,0.07114923745237725,0.0713583250443334,0.06747734994524525,0.05233760258119128,0.04757590518191501,0.04084480415682428,0.029765556546247334,0.025817032612159143,0.02412621976019778,0.021344771235713173,0.014572518821736918,0.004807858522460896,0.003918520580318813,0.0032505468317669565,0.0032747697228835194,0.0034242359714777657,0.0035066763793119775,0.003226599200776718,0.0029764427979729405,0.0028383723186085315,0.0026381205767074,0.0020475499756780154,0.0014241133155654757,0.0009387196088047127,0.0005398126337351324,0.00040361392322973055,0.0022713089323672655
