,R0-15,R16-31,R32-47,R48-63,R64-79,R80-95,R96-111,R112-127,R128-143,R144-159,R160-175,R176-191,R192-207,R208-223,R224-239,R240-255,G0-15,G16-31,G32-47,G48-63,G64-79,G80-95,G96-111,G112-127,G128-143,G144-159,G160-175,G176-191,G192-207,G208-223,G224-239,G240-255,B0-15,B16-31,B32-47,B48-63,B64-79,B80-95,B96-111,B112-127,B128-143,B144-159,B160-175,B176-191,B192-207,B208-223,B224-239,B240-255,Exposure,Contrast,Highlights,Shadows,Temperature
800_1838,0.11058509512659652,0.11534150753144735,0.09477577750525802,0.0801045504022211,0.08982657290792945,0.0990100765024964,0.07891823430978744,0.048468463667535086,0.03055596599898836,0.02391834331279746,0.02021543398942869,0.01899889433512458,0.020576217437002317,0.017215649132743427,0.014601366082975731,0.13688785175766804,0.1200958830113634,0.12478292986438046,0.1051266592955675,0.09719919518343224,0.1143422857468765,0.1085782285975893,0.05861741462917286,0.037400501722137464,0.03537343109985799,0.026107982565684223,0.01847590009510788,0.013979085515393758,0.010306234597819632,0.010561290630871986,0.011137244919193537,0.1079157325255513,0.1569446808623085,0.14102985603454976,0.11958365144228597,0.12792386811384496,0.1317405699734363,0.08539736221524065,0.04098719622017199,0.027178551774998408,0.019975242003197863,0.014613862892710869,0.012439528102847751,0.012436747975571876,0.012106545928032907,0.008845621789503516,0.00766227850643415,0.08113443616486453,-0.25,33,-69,22,4650
800_1849,0.13986536807013364,0.13076224043245346,0.1277571155293175,0.12263471726050552,0.07500488861984353,0.04884155124275543,0.03390111973617308,0.02617605439492429,0.0186817396175734,0.016584780449220127,0.01709464478121114,0.021847451278407117,0.02513507564919,0.03522696518664068,0.05193616321295951,0.10855012453869156,0.14278309788316154,0.14912010898539338,0.16722539884641785,0.11626635402988532,0.06443176180353959,0.04244841460076602,0.029387486762740524,0.020745117050515082,0.01982621617080573,0.02234834213027996,0.024619761166697757,0.032068933283331415,0.049125537115084494,0.05890470362301783,0.033145613267450004,0.027553153280913532,0.2334344051815847,0.1722219206594616,0.1590389700074364,0.09328191327368188,0.04591385701315457,0.026959692448557736,0.02225610246194859,0.02356793717198627,0.024925740323120157,0.03480320222216399,0.057825656401812836,0.06279652397108315,0.022042803390059675,0.0043297316830351006,0.0023111390726464325,0.014290404718266857,-0.4,33,-69,22,4650
800_1886,0.025087070283158992,0.0763460660593474,0.1266008578426785,0.10953929932865156,0.10436606051450742,0.11953872898966983,0.1549574403803082,0.07782635996669572,0.05015773506278904,0.03281103458390248,0.02386026342614297,0.017159083176783725,0.012167213259874849,0.007856502051568773,0.0040032181211888855,0.057723066952731675,0.02277873886380107,0.06303902814237511,0.13879053232886146,0.15738055527234346,0.15330854964558607,0.17242745739578816,0.1092383574325409,0.05522114508652967,0.031532038406935324,0.015390646969198831,0.008365375447105023,0.005535976608614672,0.004059618921072792,0.003164638146341055,0.003157729117170309,0.05660961221573611,0.1000541932136708,0.1527667551389414,0.1902593313733344,0.1623695074319133,0.16562690824082574,0.07366062826692481,0.04133198705440616,0.019076214904609156,0.013795019068920512,0.008669758094794745,0.0052667722050692345,0.003815986183262907,0.0029940594460577136,0.002606355558129544,0.005407567759684257,0.05229895605945531,-0.1,33,-48,22,4770
800_1889,0.13969151377434702,0.13300726202275676,0.14255743963160067,0.15285453559322632,0.18940365774464185,0.07897144209220598,0.04634158372345033,0.02429982632187069,0.014899417747759987,0.00985054145868929,0.006339598547419282,0.005749661044680444,0.0016746000305208428,0.0013266437048339425,0.0010461261100965637,0.05198615045190005,0.1217265239997102,0.16823144708212154,0.18702004268073416,0.2162732300278409,0.13609936912581128,0.05178889904537586,0.02886831863847973,0.012726982252768509,0.007772024718799759,0.00415780420813277,0.00524769667831494,0.0036130644181364274,0.0009211029607199396,0.0013289283638824364,0.0010392996589637141,0.05318526614020782,0.19082422020457773,0.2482195073988821,0.2614781821116592,0.11447152037618592,0.054812659059064,0.02571152540573893,0.01940567374980704,0.010857800838948823,0.0055209749317299845,0.004372864944830164,0.006242349144788808,0.0011839213293346475,0.0007753527238310747,0.0006191976541671411,0.0004782094174636916,0.055026040708990816,-0.1,33,-48,22,4770
800_2139,0.08551657737595182,0.07176659086369801,0.07388928685386263,0.07695373031422155,0.1215106099566212,0.1541976673796271,0.1519106410940467,0.09905912785700743,0.04384425870135796,0.024323223432608284,0.019973012396174637,0.02275886508268044,0.011671855136541134,0.01227406924091405,0.008994427413794585,0.02135605690089248,0.1341892565312071,0.07250593956300583,0.09837714336802564,0.17821854508948046,0.15881188040321864,0.11953883909372034,0.07286152059419193,0.04026942791476802,0.02802803205084869,0.018700182046037142,0.013815140584154836,0.01367035375770811,0.0047520082428296395,0.005261927626845922,0.005986219597243788,0.03501358353671387,0.132440308740566,0.10758462211959546,0.1890154583884863,0.1695611461743577,0.13267001331598388,0.08122012464218936,0.04277589157305437,0.029662003686724024,0.024921693999263184,0.017450225812397233,0.015056398597802896,0.008863788957840941,0.003047652592653109,0.0020297131194921825,0.0010583201336927424,0.042642638145900635,0.0,25,-45,24,5153
800_2141,0.09021427679585764,0.07204964085159757,0.07239886337386557,0.08001360445648346,0.1261307135469161,0.16083862071334654,0.15224254975436888,0.09156547370395972,0.04399336711178798,0.02385649236241233,0.017866061285235775,0.01875600479965577,0.011315668533077129,0.011729962549208255,0.009114936297099484,0.017913763865127826,0.14035681749967355,0.07235961127985169,0.10297993309637474,0.17252074305259954,0.15253493106055085,0.1290545266087358,0.07501248579933008,0.04159552109934931,0.027312520878480583,0.01750180956007046,0.013842088550522014,0.011855839004976484,0.004020229196995745,0.0030788946169909488,0.0035267428425210397,0.032447305852977185,0.13594426004462734,0.10980277832156947,0.18634794003028746,0.15702849757077433,0.14719185674846444,0.08509105274666666,0.04356930136117233,0.03156270238500788,0.023719192611401627,0.0162186569551958,0.016037756000175287,0.006279784521968951,0.002673821815091698,0.0018419581873261872,0.0008712258258299258,0.03581921487444065,0.0,25,-45,24,5153
800_2159,0.10135675165745132,0.08866549816907975,0.10176028300264316,0.121553165172151,0.14422400206643282,0.1327698501638018,0.08309013183638803,0.064652437846814,0.04069349366538366,0.04139163592378069,0.030426043219363163,0.012550953401983945,0.008020254300719266,0.005596809096532405,0.0053132636404054565,0.017935426837069567,0.17037861369751642,0.1180782813374295,0.2226353173275809,0.14081044618785646,0.06315961960371791,0.05915871366759015,0.05606401911934816,0.06946010368718647,0.03197361070158521,0.02033489688425356,0.012446024241829012,0.013604676691567064,0.0065482732491859465,0.0048090421410040924,0.0036008428685276156,0.006937518593821533,0.24582540492416144,0.2564524276731997,0.15259694716701178,0.06617735142063952,0.06077784878265659,0.07375160173867508,0.04902581037131711,0.013188841218728523,0.007313744134481969,0.02383590290496325,0.008726461680817607,0.01669832525132901,0.016416403829947378,0.005409797366707486,0.0011541657096789607,0.0026489658256845885,-0.05,25,-45,24,4443
800_2160,0.1003723113416641,0.08819414272876154,0.10247144506501532,0.1199036413391383,0.14368996989535052,0.1324425933996145,0.08691156817015215,0.06469826865784704,0.04051782265276332,0.0383842814136215,0.03233959656554637,0.012546218927811159,0.00797147820633455,0.005739834258170657,0.00528700382435409,0.018529823553854862,0.16970576784472866,0.116086636693408,0.22177584510914505,0.14496530511263755,0.06295856960745043,0.05995600462348929,0.054184130086614456,0.06840778422424759,0.03081060914185123,0.02051588041731197,0.012303522074430778,0.015777057134533274,0.006737211799895137,0.004704278136924957,0.003993694120818055,0.007117703872513602,0.24387050750700426,0.25500866078461465,0.15676320186102272,0.06639447660828436,0.060615059943948224,0.07078044393512757,0.04810000046243701,0.013497628028439436,0.007183958984919929,0.023534658222713632,0.00906379296562838,0.016920707907386638,0.0170498324326455,0.0072474064440377454,0.0013226249069896033,0.0026470390048003163,-0.05,25,-45,24,4443
800_2182,0.11093426259683926,0.08367888572058367,0.10173261935994754,0.1273216264834594,0.141884731408876,0.13190635914752158,0.07731071517205189,0.062098767076862973,0.0458207640384316,0.042699231627872966,0.02268790302211396,0.01175041437659417,0.007353354066660075,0.006569248070811879,0.0054774838317707,0.020773633999602303,0.17894140570722145,0.12277017276866985,0.2247326343340984,0.12008055102232712,0.06164621190317274,0.06009792874462224,0.06497231763961579,0.06922291203633257,0.027758800121290624,0.020155922750117315,0.015363754054856918,0.008840144112989657,0.0066263370210115965,0.0058982739868830856,0.005362535203017557,0.007530098593773088,0.2573531889105843,0.2557330353330504,0.13469906581117289,0.06551025850449191,0.06777851204945698,0.07460419245395282,0.04260022056043402,0.011019929053354,0.009820565630932544,0.025869689874325037,0.010586091568253832,0.024112787066033144,0.011579037421944487,0.004075308748273293,0.0015900676457265644,0.0030680493680137607,0.4,25,-45,24,4676
800_2183,0.11004335567197714,0.08660049670139275,0.10490791007317736,0.12733164595205762,0.14442620815523086,0.14147762168204198,0.07817830756421433,0.06252253004133966,0.04082941711576274,0.04074460947084214,0.017205244299968357,0.009348191728146934,0.0065543289719650856,0.0062121255829183705,0.005270680898863044,0.018347326090101663,0.17878051616338472,0.12439519845043966,0.22949083592977035,0.12380633446219348,0.06487446266470741,0.061102545627669064,0.06371671857338622,0.061869282709546176,0.0225648892716595,0.019036439816355253,0.01974372071094626,0.008379386187534945,0.006224429710565078,0.005603277709501033,0.004662300967660458,0.005749661044680444,0.25691241487030075,0.2619453260720446,0.13999540095380936,0.06765552582501516,0.0651971501107977,0.06474167717976842,0.03567998830254567,0.009308223957804604,0.01257891983081852,0.02769078334407582,0.011836047801893745,0.026867507832251638,0.012575176293100506,0.003489830459580913,0.0012453318635176616,0.002280695302674934,0.4,25,-45,24,4676
